ind_id,pop,STD_Length,Total_Length,Weight,inv11_pc1,inv11_pc2,inv18.1_pc1,inv18.1_pc2,inv18.2_pc1,inv18.2_pc2,inv18.3_pc1,inv18.3_pc2,inv24.1_pc1,inv24.1_pc2,inv11_gt,inv18.1_gt,inv18.2_gt,inv24.1_gt
D1Gen5_112,D1Gen5,47,56,0.75,-0.0635777991079094,0.009756059870595917,0.014526648369114284,0.01118943316440688,0.019826781065774835,-0.03223937863632468,0.008401731960154835,-0.02126687889332931,0.017887421339343918,-0.03697860216734903,NS,SS,SS,NN
D1Gen5_113,D1Gen5,57,67,1.56,0.02681091587652651,0.03389521676585158,0.020275881264437412,0.0014466457132147614,0.01962552321228017,-0.0174011280351003,0.00835104470428269,-0.011245717161725205,0.01789574771694813,-0.035144548318757546,SS,SS,SS,NN
D1Gen5_114,D1Gen5,49,57.4,0.8,0.026980369831341833,0.03061259675804069,0.019711440884408016,0.00891813927133947,0.0188002771623883,-0.0263781161667917,0.009007675288441486,-0.019905511617389626,0.01781130053729668,-0.04231261219401422,SS,SS,SS,NN
D1Gen5_116,D1Gen5,43,50.4,0.49,0.02419003955977609,0.03202120522940932,0.02476689465293208,0.026381567078483936,0.011088808950150741,-0.011931621951544735,0.002420418996720297,-0.016688335937259074,0.01691816043690631,-0.03478345291051099,SS,SS,SS,NN
D1Gen5_121,D1Gen5,60,71,1.55,0.026694093553735324,0.026282721815099053,0.011284557472720502,-0.014542245254887232,0.01950430112067858,-0.016034815730890828,0.015867441229301726,-0.0117518693062032,0.01756327530532751,-0.035985383672417715,SS,SS,SS,NN
D1Gen5_123,D1Gen5,51,60,0.92,-0.06613810615784751,0.005878255376311425,0.02847821832733852,0.01934809174172425,0.016898330051598846,-0.016199958687314914,0.007699837171279311,-0.008863467814121284,0.01754022914508237,-0.033219311702900683,NS,SS,SS,NN
D1Gen5_193,D1Gen5,42,49,0.55,0.023963042335232675,0.034967604145920886,0.017582033188521768,-0.007684255019340017,0.020760655262373195,-0.01751575879637187,0.010316534194082558,-0.018390550702899522,0.01788049996859813,-0.03739199873131311,SS,SS,SS,NN
D1Gen5_195,D1Gen5,40,47,0.45,0.026217539133290786,0.028050462899245,0.02500806346372943,-0.012710631137929933,0.019514018567415997,-0.018416081842141142,0.009800459020335228,-0.013475260991939492,0.017771770327250812,-0.037861643800821944,SS,SS,SS,NN
D1Gen5_199,D1Gen5,50,59,1.3,0.026503176249216012,0.02460730427173713,0.0263306817219679,-0.002425138802796149,0.01976235589839392,-0.01872654481448466,0.01014279995972495,-0.016757281876035243,0.017624750625353656,-0.03384529241869317,SS,SS,SS,NN
D1Gen5_200,D1Gen5,49,58,0.88,0.027653854909410962,0.023921353166334966,0.015442347335686626,0.017405414526904212,0.014091907599252163,-0.019816834432939766,0.006671509764326473,-0.014768466115261288,0.01696232618625887,-0.016459474094000677,SS,SS,SS,NN
D1Gen5_220,D1Gen5,58,67,1.81,0.026415980254829337,0.026166698748237936,0.01406594627505338,-0.010613413838515329,0.018870244236216655,-0.019819057102776576,0.013013558153045423,-0.01738576779871981,0.017204382805278664,-0.024410015264888153,SS,SS,SS,NN
D1Gen5_221,D1Gen5,48,58,0.97,0.026668594408464755,0.03100725272894205,0.026064234101658586,0.019195241185490916,0.02057733005491631,-0.03154313202726005,0.012251468624560405,-0.023617342434613574,0.017549728878368587,-0.032405518761554605,SS,SS,SS,NN
D1Gen5_236,D1Gen5,62,72,1.92,0.026196736924856967,0.03060503993502015,0.024816414596909607,0.02455074339043766,0.01487691744545234,-0.028057438679560343,0.004398500948238841,-0.016351892935735926,0.017815346038733283,-0.0339523696290443,SS,SS,SS,NN
D1Gen5_237,D1Gen5,63,73,2.71,0.02650330261395155,0.020715492350659663,0.013033910435685973,-0.0015552577228331278,0.019479145809559402,-0.024116009295887322,0.013289154993950232,-0.02024669134472296,0.017290069915543015,-0.025473757589167843,SS,SS,SS,NN
