id,sex,cross_direction,age,mass
JP3D39,m,(SxN)x(SxN),74,0.36
JP3D40,f,(SxN)x(SxN),74,0.63
JP3D41,m,(SxN)x(SxN),74,0.61
JP3D42,f,(SxN)x(SxN),74,0.53
JP3D43,m,(SxN)x(SxN),74,0.45
JP3D44,f,(SxN)x(SxN),74,0.44
JP3D45,m,(SxN)x(SxN),74,0.44
JP3D46,m,(SxN)x(SxN),74,0.25
JP3D47,m,(SxN)x(SxN),74,0.74
JP3D48,f,(SxN)x(SxN),74,0.57
JP3D49,m,(SxN)x(SxN),74,0.27
JP3D50,m,(SxN)x(SxN),74,0.73
JP3D51,m,(SxN)x(SxN),74,0.58
JP3D52,m,(SxN)x(SxN),74,0.52
JP3D53,m,(SxN)x(SxN),74,0.4
JP3D54,m,(SxN)x(SxN),74,0.41
JP3D55,m,(SxN)x(SxN),74,0.64
JP3D56,f,(SxN)x(SxN),74,0.56
JP3D57,m,(SxN)x(SxN),74,0.16
JP3D58,f,(SxN)x(SxN),74,0.55
JP3D59,m,(SxN)x(SxN),74,0.67
JP3F74,m,(SxN)x(SxN),75,0.43
JP3F75,m,(SxN)x(SxN),75,0.43
JP3F76,m,(SxN)x(SxN),75,0.28
JP3F77,f,(SxN)x(SxN),75,0.5
JP3F78,f,(SxN)x(SxN),75,0.7
JP3F79,f,(SxN)x(SxN),75,0.48
JP3F80,m,(SxN)x(SxN),75,0.43
JP3F81,m,(SxN)x(SxN),75,0.55
JP3F82,f,(SxN)x(SxN),75,0.63
JP3F83,m,(SxN)x(SxN),75,0.5
JP3F84,f,(SxN)x(SxN),75,0.72
JP3F85,m,(SxN)x(SxN),75,0.42
JP3F86,m,(SxN)x(SxN),75,0.54
JP3F87,f,(SxN)x(SxN),75,0.38
JP3F88,f,(SxN)x(SxN),75,0.34
JP3F89,m,(SxN)x(SxN),75,0.54
JP3F90,m,(SxN)x(SxN),75,0.41
JP3F91,m,(SxN)x(SxN),75,0.22
JP3F92,f,(SxN)x(SxN),75,0.59
JP3F93,f,(SxN)x(SxN),75,0.61
JP3F94,m,(SxN)x(SxN),75,0.83
JP3G100,m,(SxN)x(SxN),75,0.5
JP3G101,m,(SxN)x(SxN),75,0.64
JP3G102,m,(SxN)x(SxN),75,0.68
JP3G103,f,(SxN)x(SxN),75,0.61
JP3G104,m,(SxN)x(SxN),75,0.63
JP3G105,m,(SxN)x(SxN),75,0.32
JP3G106,m,(SxN)x(SxN),76,0.59
JP3G107,m,(SxN)x(SxN),76,0.7
JP3G108,m,(SxN)x(SxN),76,0.37
JP3G109,m,(SxN)x(SxN),76,0.55
JP3G110,m,(SxN)x(SxN),76,0.49
JP3G111,m,(SxN)x(SxN),76,0.78
JP3G112,f,(SxN)x(SxN),76,0.49
JP3G113,f,(SxN)x(SxN),76,0.72
JP3G114,f,(SxN)x(SxN),76,0.28
JP3G115,f,(SxN)x(SxN),76,0.78
JP3G116,f,(SxN)x(SxN),76,0.66
JP3G95,m,(SxN)x(SxN),76,0.59
JP3G96,m,(SxN)x(SxN),76,0.69
JP3G97,m,(SxN)x(SxN),76,0.43
