id,vert_no,grow_rate,swim_speed,morph.PC1,res.morph.PC2,mineral,res.lean,logMO2,sqrt_lipid
JP3D39,38,0.445945946,9.24102439,-0.004814372,-0.004607434,9.090909091,-1.385726487,0.6061358033884973,3.481553118939879
JP3D40,39,0.567567568,8.229901961,NA,NA,11.20689655,-2.587398377,0.33420208821167374,3.3476703168024176
JP3D41,39,0.540540541,10.20408163,0.003363499,-0.009207434,8.823529412,2.179335903,0.6849166812333473,2.9704426289696286
JP3D42,40,0.513513514,8.061319149,-0.006760165,0.008772566,11.9047619,1.969251863,0.7200360810068887,2.439750182293261
JP3D43,39,0.5,8.4196,NA,NA,7.894736842,5.352710513,0.6359887667788202,2.5649458801308067
JP3D44,40,0.5,8.4196,NA,NA,11.26760563,5.741887683,0.7905213447913072,1.6783627164591093
JP3D45,38,0.5,8.4196,0.001234314,-0.01679743,8.955223881,4.901021593,0.9545119445393527,2.4433888871810807
JP3D46,37,0.391891892,5.356527778,0.017633479,0.003742566,7.692307692,1.877676773,1.1378330018213911,3.202563076662191
JP3D47,40,0.594594595,9.433962264,NA,NA,8.26446281,-0.834762297,0.4054651081081644,3.5208939504052092
JP3D48,40,0.540540541,5.656520833,0.01708645,-0.01489743,10.86956522,3.522046893,0.44558510204365714,2.3312620206660597
JP3D49,37,0.405405405,10.24005405,0.018004835,-0.01489743,10.256410259999999,9.569984463,1.1402569897924597,0
JP3D50,40,0.608108108,NA,NA,NA,13.95348837,5.872906353,0.7296545968193895,0
JP3D51,37,0.527027027,10.63829787,-0.011421664,-0.009447434,13.95348837,-2.654225437,-0.27625337617361273,2.920125302619735
JP3D52,42,0.567567568,3.8567,0.033016321,7.67e-4,10.75268817,0.471556013,0.722919338680282,2.932942300489391
JP3D53,39,0.486486486,4.484534884,0.011373117,0.01050257,10.9375,1.076394723,0.8329091229351039,2.7950849718747373
JP3D54,38,0.472972973,7.299860465,0.011744147,0.01930257,2.985074627,6.393558903,0.8713954117825906,3.232299675153899
JP3D55,38,0.554054054,8.3945,-0.002565421,0.004972566,12.17391304,1.565525153,0.6202404097518576,2.467175819028713
JP3D56,40,0.567567568,5.43026,NA,NA,11.2244898,2.479455943,0.7621400521135635,2.474358296609446
JP3D57,NA,0.378378378,2.218181818,NA,NA,4,15.82639472,1.6218604324326575,0
JP3D58,40,0.540540541,6.539458333,NA,NA,10.22727273,5.053667453,0.9102116858587486,2.132007163449504
JP3D59,40,0.567567568,10,NA,NA,10.256410259999999,1.877676773,0.49578774653781377,2.7735009810706757
JP3F74,40,0.506666667,6.823782609,0.016778907,-0.006971894,13.63636364,-0.107185693,0.3976829676504844,2.461829819666664
JP3F75,39,0.48,8.4196,0.004609588,-0.001608894,12.32876712,-0.958161203,0.6332490388554195,2.8669108953715323
JP3F76,39,0.426666667,12.82051282,0.015284076,3.38e-4,12.5,7.0897840070000004,0.9162907318741551,0
JP3F77,40,0.52,8.930319149,-0.019487374,0.01230811,14.28571429,-1.838787423,0.5068176023684519,2.67261241915097
JP3F78,40,0.56,8.3945,0.016277707,-0.002241894,11.57024793,-1.897819303,0.5306282510621704,3.1491832865046137
JP3F79,38,0.506666667,9.124456522,-0.00463362,-0.02749189,12.65822785,-0.663380553,0.5246189460079156,2.7558912730730145
JP3F80,38,0.426666667,7.133954545,0.016056042,0.005738106,11.94029851,1.679336247,1.0021940756216183,2.4433888871810807
JP3F81,40,0.506666667,8.930319149,0.022528113,0.002218106,13.68421053,-2.515479153,0.38711596962515304,2.901905000512594
JP3F82,39,0.546666667,5.43026,0.010454141,-0.007861894,12,0.589784007,0.6896136078388112,2.6457513110645907
JP3F83,38,0.533333333,8.744270833,2.69e-4,0.005218106,14.86486486,4.724919147,0.9400072584914712,0
JP3F84,38,0.573333333,10.99628302,0.009955062,-5.19e-5,11.66666667,-2.076882663,0.5516476182222458,3.1622776601683795
JP3F85,39,0.48,9.539204545,NA,NA,12.65822785,-4.460848903,0.8873031951773733,3.3752637022905336
JP3F86,39,0.533333333,10.41666667,NA,NA,27.83505155,-14.43083455,0.6061358033884973,2.487080016806858
JP3F87,38,0.48,9.539204545,-0.011602056,0.005098106,7.8125,3.964784007,1.0898016591452468,2.7950849718747373
JP3F88,36,0.453333333,14.21470732,-0.009340755,-0.01719189,17.30769231,-3.487139073,1.252762968495368,2.4019223070282685
JP3F89,39,0.52,NA,-0.010694041,0.004328106,15.05376344,-0.840323523,0.930996879249252,2.318694478796204
JP3F90,38,0.48,13.24552273,0.007509775,-0.001198894,14.86486486,-4.734540313,0.9592567679258227,3.075623426071534
JP3F91,37,0.4,7.542027778,-0.007815678,0.02090811,16.21621622,-10.13994572,2.132311874675547,3.6760731099911492
JP3F92,39,0.546666667,10.20408163,0.028223051,0.01720811,14.28571429,-0.410215993,1.0284080298191036,2.3904572186090256
JP3F93,39,0.546666667,6.27788,-0.015715952,0.001638106,13.08411215,-0.970963653,0.9950716098060574,2.734343708095235
JP3F94,39,0.573333333,10.99628302,0.005231297,0.006888106,15.67164179,0.933067587,0.8694264230343008,1.7277368512015943
JP3G100,39,0.426666667,10.493125,NA,NA,12.82051282,1.641066057,1.55814461804655,2.2645540682439003
JP3G101,40,0.526315789,10,0.00123527,-0.01269189,12.14953271,1.832774657,1.058465220500481,2.3680111139941893
